dataset,model,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,pixel_accuracy_mean,pixel_accuracy_std,source_file
SEAVIEW_PAC_USA,EPFL_b5,0.7200516355592974,0.24899524474413579,0.6148258328301826,0.2736928242406187,0.910858414791306,0.18182172569799904,0.6446253501075759,0.26876914982986755,0.8047320719187565,0.16900085450563537,automated_underwater_area_estimation\evaluation_results\SEAVIEW_PAC_USA\comparison\model_comparison.json
TETES_PROVIDENCIA,ReefSupport_yolov8_sm_latest,0.5250914555220377,0.22896504059403108,0.3906827820553666,0.22529865890339412,0.473714691365049,0.2976223160569847,0.7784524826776413,0.12123319764475517,0.6669458213306608,0.2230556869135584,automated_underwater_area_estimation\evaluation_results\TETES_PROVIDENCIA\comparison\model_comparison.json
TETES_PROVIDENCIA,ReefSupport_yolov8_xlarge_latest,0.4898552415914656,0.2002175583527143,0.34751390333930476,0.17625232031723548,0.8631884100891295,0.10896728260512041,0.36845946978511557,0.1894559324282685,0.868476242678506,0.05837173334985264,automated_underwater_area_estimation\evaluation_results\TETES_PROVIDENCIA\comparison\model_comparison.json
TETES_PROVIDENCIA,CoralSCOP,0.09867590324339716,0.10535413158289236,0.05549320653531827,0.06518181561983294,0.9229761265577552,0.20752691189033853,0.05573273880325953,0.06553420762473162,0.8184595919790723,0.06595428343921259,automated_underwater_area_estimation\evaluation_results\TETES_PROVIDENCIA\comparison\model_comparison.json
TETES_PROVIDENCIA,EPFL_b2,0.434188920419131,0.19051303110945245,0.2970959027608236,0.16457891168585592,0.9345202917144412,0.049477198542662734,0.30484133859475454,0.17196839282374682,0.8662343842642648,0.049352723048606634,automated_underwater_area_estimation\evaluation_results\TETES_PROVIDENCIA\comparison\model_comparison.json
TETES_PROVIDENCIA,EPFL_b5,0.5417379250838643,0.19396798494162168,0.3961214702399004,0.18697023809089638,0.8347252005622501,0.14110710267351778,0.42684748414016904,0.20267307496784892,0.8771816083363124,0.05662032320205508,automated_underwater_area_estimation\evaluation_results\TETES_PROVIDENCIA\comparison\model_comparison.json
UNAL_BLEACHING_TAYRONA,ReefSupport_yolov8_sm_latest,0.45268164544801887,0.31447701529172417,0.3483440277279316,0.2783571306314175,0.6076641893230622,0.34928141437432075,0.5473448381307673,0.3394443942581322,0.6587949831599206,0.26089702558315114,automated_underwater_area_estimation\evaluation_results\UNAL_BLEACHING_TAYRONA\comparison\model_comparison.json
UNAL_BLEACHING_TAYRONA,ReefSupport_yolov8_xlarge_latest,0.305025792393054,0.30181843171535666,0.2233044165980404,0.2462880978349261,0.5672058882205563,0.38357693287168093,0.29273632130103494,0.3025083277751449,0.7048716865094962,0.21369057111631903,automated_underwater_area_estimation\evaluation_results\UNAL_BLEACHING_TAYRONA\comparison\model_comparison.json
UNAL_BLEACHING_TAYRONA,CoralSCOP,0.14496139760694232,0.2568905533030676,0.10869021497381914,0.22430555699908833,0.8208856494334087,0.338668459820616,0.12535484651341983,0.25199312432592025,0.67440282397176,0.24343708210363868,automated_underwater_area_estimation\evaluation_results\UNAL_BLEACHING_TAYRONA\comparison\model_comparison.json
UNAL_BLEACHING_TAYRONA,EPFL_b2,0.505506706496517,0.32486681658261524,0.4024556568800916,0.2995372563115794,0.7835858465645162,0.32245276839402226,0.47234821483067463,0.3198826962093528,0.7912856506291313,0.18318893472681702,automated_underwater_area_estimation\evaluation_results\UNAL_BLEACHING_TAYRONA\comparison\model_comparison.json
UNAL_BLEACHING_TAYRONA,EPFL_b5,0.5000613233318042,0.32547618133860345,0.39756413574560706,0.30026790067439074,0.8295972782080921,0.297206098998984,0.45236085072312576,0.32140290172545866,0.7943092383512248,0.1845970324890355,automated_underwater_area_estimation\evaluation_results\UNAL_BLEACHING_TAYRONA\comparison\model_comparison.json
