image,region_precision,region_recall,region_iou,region_dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot-15_aug04.jpg,0.9763085246086121,0.9938271641731262,0.9704238772392273,0.9849899411201477,1.0,0.9982872605323792,0.9982872605323792,0.9991428852081299
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot00_aug00.jpg,0.9768839478492737,0.9955076575279236,0.9725964665412903,0.9861078858375549,0.9858047962188721,0.996412992477417,0.9823187589645386,0.9910805225372314
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot00_aug01.jpg,0.9713598489761353,0.9930045008659363,0.9647579789161682,0.9820629358291626,0.9845881462097168,0.9961656332015991,0.9808709025382996,0.9903430938720703
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot00_aug02.jpg,0.985190212726593,0.9909855723381042,0.9764396548271179,0.9880793690681458,0.9993941187858582,0.9960748553276062,0.9954737424850464,0.9977317452430725
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot00_aug03.jpg,0.9777927994728088,0.9908857941627502,0.9690771102905273,0.9842957258224487,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot00_aug04.jpg,0.9787276387214661,0.9922749996185303,0.9713265895843506,0.9854547381401062,1.0,0.9801682829856873,0.9801682829856873,0.9899848103523254
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot15_aug00.jpg,0.9840599298477173,0.9922007322311401,0.9765063524246216,0.9881135821342468,1.0,0.9982783794403076,0.9982783794403076,0.9991384744644165
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot15_aug01.jpg,0.9811500906944275,0.9931133985519409,0.9745197892189026,0.9870954751968384,0.9980034828186035,1.0,0.9980034828186035,0.9990007281303406
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot15_aug02.jpg,0.9823804497718811,0.9930006265640259,0.975624680519104,0.9876619577407837,1.0,0.997402012348175,0.997402012348175,0.9986993074417114
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot15_aug03.jpg,0.9850782752037048,0.990757405757904,0.976108193397522,0.9879096746444702,1.0,0.995017409324646,0.995017409324646,0.9975025057792664
..\data_preprocessed\IBF\out_images\GA 1_PB100639_rot15_aug04.jpg,0.9817376136779785,0.9913302063941956,0.9733802676200867,0.9865105748176575,1.0,0.9907451272010803,0.9907451272010803,0.9953510761260986
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot-15_aug00.jpg,0.9767535924911499,0.9901597499847412,0.9673633575439453,0.9834109544754028,0.9961667656898499,0.9930738210678101,0.9892933368682861,0.9946178793907166
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot-15_aug01.jpg,0.9737656712532043,0.9937816262245178,0.9678683280944824,0.9836718440055847,0.9980870485305786,0.996657133102417,0.9947569370269775,0.9973715543746948
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot-15_aug02.jpg,0.9814363718032837,0.9930846095085144,0.9747745394706726,0.987226128578186,0.9974424839019775,0.9961685538291931,0.993630588054657,0.9968051314353943
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot-15_aug03.jpg,0.9835692644119263,0.9924309253692627,0.9762459397315979,0.9879801869392395,0.996314525604248,0.9960697889328003,0.9924131035804749,0.9961920976638794
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot-15_aug04.jpg,0.9792958498001099,0.9914531707763672,0.9710978865623474,0.9853370189666748,0.9949302673339844,0.9879184365272522,0.9829701781272888,0.9914119839668274
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot00_aug00.jpg,0.9673759341239929,0.9934470057487488,0.9612421989440918,0.980238139629364,0.997703492641449,0.9923858046531677,0.9901241064071655,0.9950375556945801
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot00_aug01.jpg,0.9733456969261169,0.9929438233375549,0.9666593670845032,0.9830470681190491,0.9991989135742188,0.9907333850860596,0.9899470806121826,0.994948148727417
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot00_aug02.jpg,0.9812155961990356,0.9927931427955627,0.9742760062217712,0.9869704246520996,1.0,0.9994917511940002,0.9994917511940002,0.999745786190033
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot00_aug03.jpg,0.9752557873725891,0.9940694570541382,0.9696142673492432,0.9845727682113647,0.9986475706100464,0.9890168905258179,0.9876939654350281,0.9938088655471802
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot00_aug04.jpg,0.9832440614700317,0.9900476336479187,0.9736208319664001,0.9866341352462769,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot15_aug00.jpg,0.9852910041809082,0.9902328252792358,0.9758077263832092,0.9877557754516602,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot15_aug01.jpg,0.9864714741706848,0.9913384914398193,0.9780417084693909,0.9888989925384521,1.0,0.9986335635185242,0.9986335635185242,0.9993163347244263
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot15_aug02.jpg,0.9815353155136108,0.9920206069946289,0.9738466739654541,0.986750066280365,1.0,0.9980545043945312,0.9980545043945312,0.9990262985229492
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot15_aug03.jpg,0.9827946424484253,0.9929677248001099,0.9760014414787292,0.9878550171852112,1.0,0.9995013475418091,0.9995013475418091,0.9997506141662598
..\data_preprocessed\IBF\out_images\GA 1_PB100640_rot15_aug04.jpg,0.9802764654159546,0.9927860498428345,0.9733433127403259,0.9864916205406189,0.9995243549346924,0.9962076544761658,0.9957355856895447,0.997863233089447
