image,precision,recall,iou,dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120297.JPG,0.9688989520072937,0.9917271733283997,0.961130678653717,0.9801801443099976,0.6442864537239075,0.63132643699646,0.4681491553783417,0.6377406120300293
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120300.JPG,0.9519230723381042,0.993981659412384,0.9464678764343262,0.972497820854187,0.5452390313148499,0.5304008722305298,0.36772486567497253,0.5377175807952881
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120302.JPG,0.9687421321868896,0.9909119009971619,0.9602108597755432,0.9797016382217407,0.6264829635620117,0.6166037917137146,0.4508567154407501,0.6215041279792786
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120303.JPG,0.968772828578949,0.9685611724853516,0.9392378926277161,0.9686670303344727,0.5508496165275574,0.5066145658493042,0.35851743817329407,0.5278068780899048
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120304.JPG,0.9622035622596741,0.9937440752983093,0.9564102292060852,0.9777194857597351,0.6155184507369995,0.5935743451118469,0.4330212473869324,0.604347288608551
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120305.JPG,0.9808244705200195,0.9854868650436401,0.9668586850166321,0.9831501245498657,0.6032497882843018,0.5939571261405945,0.42711105942726135,0.5985673666000366
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120308.JPG,0.9745732545852661,0.9858101010322571,0.9610909223556519,0.9801594614982605,0.6591478586196899,0.6457644701004028,0.484106183052063,0.6523875594139099
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120309.JPG,0.9772656559944153,0.9881125688552856,0.965909481048584,0.9826591610908508,0.672109067440033,0.6624811887741089,0.5006682872772217,0.6672604084014893
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120311.JPG,0.9673824310302734,0.9891027808189392,0.9571808576583862,0.9781220555305481,0.6202408671379089,0.6083932518959045,0.4432721436023712,0.6142599582672119
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120314.JPG,0.9751921892166138,0.988861620426178,0.964596688747406,0.9819793701171875,0.690734326839447,0.6805044412612915,0.5215851068496704,0.6855812072753906
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120317.JPG,0.9609573483467102,0.9843469858169556,0.9464938640594482,0.9725115299224854,0.5154420733451843,0.5005380511283875,0.3403754234313965,0.5078807473182678
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120318.JPG,0.9731667637825012,0.9877436757087708,0.961555540561676,0.9804010391235352,0.6495844721794128,0.6434059143066406,0.477629154920578,0.6464804410934448
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120319.JPG,0.972987174987793,0.9894264340400696,0.9629743099212646,0.9811379909515381,0.6600028276443481,0.6522709131240845,0.48822158575057983,0.6561141014099121
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120320.JPG,0.9644847512245178,0.9911946058273315,0.956291139125824,0.9776572585105896,0.6023013591766357,0.5930038094520569,0.4261433780193329,0.59761643409729
